penalty,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_informative,flip_y,scale,time
l2,638,404,1,854,1136,7,11,0.01651915274,4332663508,5.338888168
l1,490,95,1,1226,1061,5,8,0.08322597553,3186925795,18.01468039
none,805,840,1,1271,449,5,7,0.003503250355,2296983815,3.894527197
elasticnet,171,97,16,660,130,4,9,0.08012222366,3668047.08,0.2109155655
l2,385,791,1,515,409,7,11,0.009121719519,567662116,0.7459073067
l1,204,211,1,171,665,3,10,0.08030529053,69593791.08,0.3849201202
l1,997,399,1,878,1343,3,7,0.06416850383,3526850013,19.2956233
l2,538,719,2,148,781,9,7,0.01606399921,279839267,0.4022350311
l1,629,349,4,117,666,4,9,0.09752997375,49013287.1,0.4026708603
l2,317,719,2,1357,661,8,9,0.02823113527,1137367555,1.806305408
none,633,20,2,461,1022,2,9,0.01993745389,298232906,0.3662705421
none,701,493,2,1310,1363,6,8,0.09682619837,3754970083,5.315027475
l1,152,935,16,854,158,7,10,0.03374963927,8973913.034,0.3096914291
l2,663,399,8,799,1061,9,9,0.09154811125,632307725.7,1.507054567
l1,833,47,4,454,1063,4,9,0.03709737355,402007513,2.50687027
l2,441,206,4,136,761,8,8,0.07264435316,91283678.07,0.2024643421
l1,623,207,1,898,438,6,9,0.03405744049,1470245319,8.424505711
none,460,412,8,125,147,7,10,0.06038387222,7396349.56,0.1032745838
elasticnet,419,589,1,689,669,3,7,0.00709461194,579403426,3.711245537
elasticnet,857,324,2,842,483,2,8,0.06291723131,348530226.1,2.339582682
none,268,751,4,1122,1300,5,8,0.05096523164,488631751.1,1.005507231
l1,362,53,2,1096,1126,3,8,0.08538191976,670114181.1,5.111740589
none,789,566,2,420,1345,7,10,0.08524183004,1559971916,2.206224918
l2,691,46,8,1210,679,8,8,0.02651132597,567718736,1.006346226
l2,400,515,1,756,632,2,6,0.079974642,382234115.1,0.2429218292
none,659,241,16,737,721,9,11,0.06025656439,196975052.7,0.6106376648
l2,395,514,16,243,603,7,7,0.05976798928,25322556.87,0.2070252895
l1,488,137,16,718,302,4,7,0.09649309386,26454129.1,0.9085454941
l2,501,475,4,713,460,10,10,0.03235644065,410795425,0.8036108017
l2,879,9,4,173,816,8,12,0.003609421905,248173353,0.4024317265
none,669,816,4,438,606,5,10,0.02111213459,221964981,0.5030076504
l2,259,279,2,577,583,7,7,0.02011440643,304938720.5,0.5026123524
elasticnet,503,268,2,964,853,2,9,0.06269478858,413613144.1,2.848687649
elasticnet,206,988,2,212,230,6,7,0.0134549382,30134668.01,0.3052597046
l2,815,123,16,375,379,4,7,0.09446375704,28958091.84,0.2060632706
none,494,46,2,434,350,4,10,0.09472182022,150077246.1,0.2019028664
none,442,618,4,289,479,9,12,0.01885863109,137670247.5,0.3026878834
l2,137,935,2,184,571,4,9,0.06711379462,28788471.07,0.1019618511
none,186,296,4,969,694,10,8,0.07216683674,312706286.1,0.5038750172
none,746,873,4,287,691,3,10,0.03728426591,110959234.5,0.2025880814
elasticnet,557,732,16,109,971,5,7,0.04883501547,18423332.99,0.5068745613
l2,561,334,16,725,521,2,10,0.06898425749,26488299.69,0.272582531
none,945,334,16,385,527,6,9,0.06171115441,71901249.69,0.3076415062
l2,173,486,1,934,474,3,9,0.05627273233,229770090.1,0.3359382153
elasticnet,297,536,2,464,123,2,10,0.0177707234,16950920.02,0.154122591
none,655,420,8,167,139,2,6,0.06389932383,3801548.814,0.02268052101
l1,517,963,4,870,163,9,10,0.07932899254,164961445.6,1.905080318
l1,973,184,2,321,390,2,9,0.05796442996,121810054.1,0.680450201
none,671,512,8,435,642,6,9,0.07533406921,140543139.6,0.3034543991
none,413,624,4,709,751,7,8,0.09187132123,384835366.3,0.6037831306
elasticnet,858,318,8,248,531,4,7,0.04955833233,56494470.05,0.9042201042
none,121,661,1,160,916,8,9,0.00337065148,141870741,0.1781840324
elasticnet,404,632,2,553,619,8,10,0.06073264439,553168744.1,3.908815861
l1,182,492,8,415,486,10,8,0.04906598632,45884967.05,0.5052785873
l2,565,338,8,796,687,10,7,0.07566003739,386214563.1,0.9050705433
none,993,573,8,517,206,4,8,0.01996417925,52878816.02,0.303614378
elasticnet,889,294,16,753,981,7,9,0.09957851415,287305702.8,5.216220379
l1,769,150,16,434,256,3,10,0.08717678926,16019958.09,0.6065852642
elasticnet,887,93,1,413,147,7,11,0.006877505677,376954692,2.631711245
l2,138,179,8,753,299,3,5,0.04640058214,11651536.3,0.1026117802
l1,158,731,2,172,750,10,8,0.09343035911,101910731.1,0.7028243542
l2,170,249,16,571,505,8,10,0.03823447853,24510424.04,0.1075806618
l1,250,655,8,444,327,8,9,0.05703349614,36297655.06,0.4035403728
elasticnet,886,342,1,963,537,9,11,0.07827908586,4123602936,26.91261172
