penalty,max_iter,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,time,n1,n2,n3
none,669,4,438,606,5,3,10,0.5030076504,73255.5,3.75,37.5
l2,259,2,577,583,7,2,7,0.5026123524,74721.5,7,49
elasticnet,503,2,964,853,2,3,9,2.848687649,242446,3,27
elasticnet,206,2,212,230,6,4,7,0.3052597046,21836,12,84
l2,815,16,375,379,4,3,7,0.2060632706,19101.5625,0.75,5.25
none,494,2,434,350,4,5,10,0.2019028664,107198,10,100
none,442,4,289,479,9,5,12,0.3026878834,31934.5,11.25,135
l2,137,2,184,571,4,3,9,0.1019618511,12604,6,54
none,186,4,969,694,10,5,8,0.5038750172,45058.5,12.5,100
none,746,4,287,691,3,3,10,0.2025880814,53525.5,2.25,22.5
elasticnet,557,16,109,971,5,4,7,0.5068745613,3794.5625,1.25,8.75
l2,561,16,725,521,2,4,10,0.272582531,25420.3125,0.5,5
none,945,16,385,527,6,5,9,0.3076415062,22739.0625,1.875,16.875
l2,173,1,934,474,3,3,9,0.3359382153,161582,9,81
elasticnet,297,2,464,123,2,5,10,0.154122591,68904,5,50
none,655,8,167,139,2,4,6,0.02268052101,13673.125,1,6
l1,517,4,870,163,9,3,10,1.905080318,112447.5,6.75,67.5
l1,973,2,321,390,2,3,9,0.680450201,156166.5,3,27
none,671,8,435,642,6,3,9,0.3034543991,36485.625,2.25,20.25
none,413,4,709,751,7,2,8,0.6037831306,73204.25,3.5,28
elasticnet,858,8,248,531,4,3,7,0.9042201042,26598,1.5,10.5
none,121,1,160,916,8,2,9,0.1781840324,19360,16,144
elasticnet,404,2,553,619,8,2,10,3.908815861,111706,8,80
l1,182,8,415,486,10,3,8,0.5052785873,9441.25,3.75,30
l2,565,8,796,687,10,2,7,0.9050705433,56217.5,2.5,17.5
none,993,8,517,206,4,4,8,0.303614378,64172.625,2,16
elasticnet,889,16,753,981,7,3,9,5.216220379,41838.5625,1.3125,11.8125
l1,769,16,434,256,3,3,10,0.6065852642,20859.125,0.5625,5.625
elasticnet,887,1,413,147,7,5,11,2.631711245,366331,35,385
l2,138,8,753,299,3,2,5,0.1026117802,12989.25,0.75,3.75
l1,158,2,172,750,10,3,8,0.7028243542,13588,15,120
l2,170,16,571,505,8,2,10,0.1075806618,6066.875,1,10
l1,250,8,444,327,8,2,9,0.4035403728,13875,2,18
elasticnet,886,1,963,537,9,2,11,26.91261172,853218,18,198
l1,442,4,639,199,2,2,7,0.3322458267,70609.5,1,7
